company,latest_exit_date,deal_type,hq_location
Coveo Solutions (TSE: CVO),24-Nov-2021,IPO,"""Montreal, Canada"""
Coya Therapeutics (NAS: COYA),29-Dec-2022,IPO,"""Houston, TX"""
CreateAI Holdings (PINX: TSPH),15-Apr-2021,IPO,"""San Diego, CA"""
Cube Labs (MIL: CUBE),21-Mar-2023,IPO,"""Rome, Italy"""
Cullinan Therapeutics (NAS: CGEM),08-Jan-2021,IPO,"""Cambridge, MA"""
CVRx (NAS: CVRX),30-Jun-2021,IPO,"""Minneapolis, MN"""
Cybeats Technologies (CNQ: CYBT),18-Mar-2021,Merger/Acquisition,"""Toronto, Canada"""
CycleZyme (SAT: CYCLE),22-Dec-2023,IPO,"""Lund, Sweden"""
Cyngn (NAS: CYN),20-Oct-2021,IPO,"""Mountain View, CA"""
Datrix (MIL: DATA),03-Dec-2021,IPO,"""Milan, Italy"""
Dave (NAS: DAVE),05-Jan-2022,Reverse Merger,"""Los Angeles, CA"""
Day One Biopharmaceuticals (NAS: DAWN),27-May-2021,IPO,"""Brisbane, CA"""
Defence Holdings (LON: ALRT),15-Oct-2024,Merger/Acquisition,"""London, United Kingdom"""
DeFi Development (NAS: DFDV),26-Jul-2023,IPO,"""Boca Raton, FL"""
Demolish Games (WAR: DGS),24-Aug-2023,IPO,"""Warsaw, Poland"""
Dermata Therapeutics (NAS: DRMA),13-Aug-2021,IPO,"""San Diego, CA"""
Desert Control (OSL: DSRT),14-Apr-2021,IPO,"""Sandnes, Norway"""
Devolver Digital (LON: DEVO),04-Nov-2021,IPO,"""Austin, TX"""
Dianomi (LON: DNM),24-May-2021,IPO,"""London, United Kingdom"""
Dianthus Therapeutics (NAS: DNTH),11-Sep-2023,Reverse Merger,"""New York, NY"""
Digital Workforce Services (HEL: DWF),03-Dec-2021,IPO,"""Helsinki, Finland"""
DigitalOcean (NYS: DOCN),24-Mar-2021,IPO,"""New York, NY"""
Disc Medicine (NAS: IRON),30-Dec-2022,Reverse Merger,"""Watertown, MA"""
DISCO (Austin) (NYS: LAW),21-Jul-2021,IPO,"""Austin, TX"""
Dlaboratory Sweden (STO: DLAB),21-Apr-2021,IPO,"""Lund, Sweden"""
DocGo (NAS: DCGO),05-Nov-2021,Reverse Merger,"""New York, NY"""
DonkeyRepublic Admin (CSE: DONKEY),25-May-2021,IPO,"""Copenhagen, Denmark"""
Dot Ai (NAS: DAIC),20-Jun-2025,Reverse Merger,"""Las Vegas, NV"""
Dotstay (MIL: DOT),29-Dec-2022,IPO,"""Milan, Italy"""
Doximity (NYS: DOCS),24-Jun-2021,IPO,"""San Francisco, CA"""
Duolingo (NAS: DUOL),28-Jul-2021,IPO,"""Pittsburgh, PA"""
E.C.D. Automotive Design (PINX: ECDA),12-Dec-2023,Reverse Merger,"""Kissimmee, FL"""
EBET (PINX: EBET),15-Apr-2021,IPO,"""Las Vegas, NV"""
EBR Systems (ASX: EBR),01-Oct-2021,IPO,"""Sunnyvale, CA"""
Edgewise Therapeutics (NAS: EWTX),26-Mar-2021,IPO,"""Boulder, CO"""
Edible Garden (NAS: EDBL),05-May-2022,IPO,"""Belvidere, NJ"""
eEducation Albert (STO: ALBERT),01-Oct-2021,IPO,"""Gothenburg, Sweden"""
Effector Therapeutics (PINX: EFTR),25-Aug-2021,Reverse Merger,"""Solana Beach, CA"""
Eikon Therapeutics (NAS: EIKN),05-Feb-2026,IPO,"""Millbrae, CA"""
Electriq Power (PINX: ELIQQ),31-Jul-2023,Reverse Merger,"""San Leandro, CA"""
Elicio Therapeutics (NAS: ELTX),01-Jun-2023,Reverse Merger,"""Boston, MA"""
EMB Mission Bound (STO: EMB),23-Jun-2021,IPO,"""Stockholm, Sweden"""
Empery Digital (NAS: EMPD),06-Oct-2021,IPO,"""Austin, TX"""
Encore Technologies (Holding Companies) (CNQ: ENCR),28-Nov-2025,IPO,"""Vancouver, Canada"""
Endurance Motive (MAD: END),08-Jul-2021,IPO,"""Valencia, Spain"""
Energy Solar Tech (MAD: ETC),09-Jan-2023,IPO,"""Madrid, Spain"""
Energy Vault Holdings (NYS: NRGV),14-Feb-2022,Reverse Merger,"""Westlake Village, CA"""
EnergyVision (BRU: ENRGY),09-Jul-2025,IPO,"""Ghent, Belgium"""
Enlitic (ASX: ENL),19-Dec-2023,IPO,"""Fort Collins, CO"""
Enliven Therapeutics (NAS: ELVN),23-Feb-2023,Reverse Merger,"""Boulder, CO"""
Enogia (PAR: ALENO),14-Jul-2021,IPO,"""Marseille, France"""
Enovix (NAS: ENVX),14-Jul-2021,Reverse Merger,"""Fremont, CA"""
EnSilica (LON: ENSI),24-May-2022,IPO,"""Abingdon, United Kingdom"""
Entrada Therapeutics (NAS: TRDA),02-Nov-2021,IPO,"""Boston, MA"""
EPH (Milan) (MIL: EPH),23-Jun-2022,Merger/Acquisition,"""Milan, Italy"""
EquipmentShare (NAS: EQPT),23-Jan-2026,IPO,"""Columbia, MO"""
Erasca (NAS: ERAS),16-Jul-2021,IPO,"""San Diego, CA"""
ESS Tech (NYS: GWH),11-Oct-2021,Reverse Merger,"""Wilsonville, OR"""
Ethos Technologies (Insurance Brokers) (NAS: LIFE),29-Jan-2026,IPO,"""Austin, TX"""
Eupraxia Pharmaceuticals (TSE: EPRX),09-Mar-2021,IPO,"""Victoria, Canada"""
Evaxion (NAS: EVAX),05-Feb-2021,IPO,"""Hoersholm, Denmark"""
Eve Holding (NYS: EVEX),10-May-2022,Reverse Merger,"""Melbourne, FL"""
Evolv Technologies Holdings (NAS: EVLV),16-Jul-2021,Reverse Merger,"""Waltham, MA"""
Evommune (NYS: EVMN),06-Nov-2025,IPO,"""Palo Alto, CA"""
Execus (MIL: EXEC),04-Aug-2023,IPO,"""Milan, Italy"""
Exodus Movement (ASE: EXOD),05-May-2021,IPO,"""Omaha, NE"""
Expensify (NAS: EXFY),10-Nov-2021,IPO,"""Portland, OR"""
Expion360 (NAS: XPON),01-Apr-2022,IPO,"""Redmond, OR"""
F45 Training (PINX: FXLV),15-Jul-2021,IPO,"""Austin, TX"""
Fadel Partners (LON: FADL),06-Apr-2023,IPO,"""New York, NY"""
Faraday Future Intelligent Electric (NAS: FFAI),22-Jul-2021,Reverse Merger,"""Gardena, CA"""
Femasys (NAS: FEMY),18-Jun-2021,IPO,"""Suwanee, GA"""
Fermi (REIT) (NAS: FRMI),01-Oct-2025,IPO,"""Amarillo, TX"""
FIGS (NYS: FIGS),27-May-2021,IPO,"""Santa Monica, CA"""
Figure Technology Solutions (NAS: FIGR),11-Sep-2025,IPO,"""Charlotte, NC"""
Fiinu (LON: BANK),08-Jul-2022,Reverse Merger,"""Weybridge, United Kingdom"""
Fill Up Media (PAR: ALFUM),29-Jun-2022,IPO,"""Lyon, France"""
Finexity (MUN: FXT),05-Sep-2025,IPO,"""Hamburg, Germany"""
Firefly Aerospace (NAS: FLY),07-Aug-2025,IPO,"""Cedar Park, TX"""
Flywire (NAS: FLYW),26-May-2021,IPO,"""Boston, MA"""
Fold (NAS: FLD),14-Feb-2025,Reverse Merger,"""Phoenix, AZ"""
Footshop (PRA: WSO),23-Jun-2023,Reverse Merger,"""Prague, Czech Republic"""
Forge Global Holdings (NYS: FRGE),22-Mar-2022,Reverse Merger,"""San Francisco, CA"""
FORME Life (NAS: TRNR),01-May-2023,IPO,"""Austin, TX"""
Forward Water Technologies (TSX: FWTC),25-Oct-2021,Reverse Merger,"""Sarnia, Canada"""
Fractyl Health (NAS: GUTS),02-Feb-2024,IPO,"""Burlington, MA"""
Fragbite Group (STO: FRAG),12-Jul-2021,IPO,"""Stockholm, Sweden"""
Freemelt (STO: FREEM),07-Jul-2021,IPO,"""Gothenburg, Sweden"""
Freshworks (NAS: FRSH),22-Sep-2021,IPO,"""San Mateo, CA"""
FRNT Financial (TSX: FRNT),12-Apr-2022,IPO,"""Toronto, Canada"""
FSport (STO: FSPORT),30-Sep-2021,IPO,"""Billdal, Sweden"""
Fubo (NYS: FUBO),29-Oct-2025,Merger/Acquisition,"""New York, NY"""
Gain Therapeutics (NAS: GANX),18-Mar-2021,IPO,"""Bethesda, MD"""
Gambling.com Group (NAS: GAMB),23-Jul-2021,IPO,"""Saint Helier, United Kingdom"""
