company,latest_exit_date,deal_type,hq_location
Adhezion Biomedical,23-Jun-2023,Merger/Acquisition,"""Wyomissing, PA"""
Adjust,01-Apr-2021,Merger/Acquisition,"""Berlin, Germany"""
Adlumin,20-Nov-2024,Merger/Acquisition,"""Washington, DC"""
AdMass,29-Jun-2023,Merger/Acquisition,"""Toronto, Canada"""
AdMobilize,23-Feb-2021,Merger/Acquisition,"""Miami Lakes, FL"""
Adore Me,30-Dec-2022,Merger/Acquisition,"""New York, NY"""
AdPushup,02-Mar-2023,Merger/Acquisition,"""Wilmington, DE"""
Adracare,04-Jan-2021,Merger/Acquisition,"""Toronto, Canada"""
Adsmurai,18-Aug-2022,Merger/Acquisition,"""Barcelona, Spain"""
Advanced Accelerator Applications,02-Dec-2024,Merger/Acquisition,"""Rueil-Malmaison, France"""
Advanced BioMatrix,27-Aug-2021,Merger/Acquisition,"""Carlsbad, CA"""
Advertising Week,21-Jun-2022,Merger/Acquisition,"""New York, NY"""
Adverum Biotechnologies,09-Dec-2025,Merger/Acquisition,"""Redwood City, CA"""
AdvisorStream,09-Jun-2021,Merger/Acquisition,"""New York, NY"""
AdvisorTarget,30-May-2024,Merger/Acquisition,"""Coral Gables, FL"""
ADx NeuroSciences,08-Aug-2022,Merger/Acquisition,"""Ghent, Belgium"""
Adyoulike,11-Apr-2022,Merger/Acquisition,France
AeoniQ,21-Jul-2025,Merger/Acquisition,"""Schlieren, Switzerland"""
Aeris (Household Appliances),15-Nov-2021,Merger/Acquisition,"""Cham, Switzerland"""
Aerodome,16-Oct-2024,Merger/Acquisition,"""New York, NY"""
Aerostrat,12-Aug-2025,Merger/Acquisition,"""Seattle, WA"""
Aerovate Therapeutics,30-Jun-2021,IPO,"""Waltham, MA"""
Affectiva,23-Jun-2021,Merger/Acquisition,"""Boston, MA"""
Affera,30-Aug-2022,Merger/Acquisition,"""Newton, MA"""
Affinio,01-Nov-2021,Merger/Acquisition,"""Halifax, Canada"""
Affinivax,15-Aug-2022,Merger/Acquisition,"""Cambridge, MA"""
Africa Eats (XMAU: EATS.N000),21-Nov-2024,IPO,"""Bainbridge Island, WA"""
AfricaWeb,08-Jul-2024,Merger/Acquisition,"""Amsterdam, Netherlands"""
AFX Networks,08-Nov-2021,Buyout/LBO,"""New York, NY"""
Agara,02-Nov-2021,Merger/Acquisition,"""Walnut, CA"""
Ageto Energy,01-Aug-2024,Merger/Acquisition,"""Fort Collins, CO"""
Agribody Technologies,15-Apr-2021,Merger/Acquisition,"""Great Falls, MT"""
Agricool,01-Sep-2022,Merger/Acquisition,"""La Courneuve, France"""
Agrivida,10-Jan-2023,Merger/Acquisition,"""Boston, MA"""
Aidence,20-Jan-2022,Merger/Acquisition,"""Rotterdam, Netherlands"""
AImotive,22-Dec-2022,Merger/Acquisition,"""Budapest, Hungary"""
Aiolos Bio,14-Feb-2024,Merger/Acquisition,"""Boston, MA"""
Aiqudo,09-Feb-2021,Merger/Acquisition,"""Campbell, CA"""
Air Control Entech,25-Jul-2024,Merger/Acquisition,"""Aberdeen, United Kingdom"""
Airbase,01-Oct-2024,Merger/Acquisition,"""San Francisco, CA"""
Airgap,12-Apr-2024,Merger/Acquisition,"""Santa Clara, CA"""
Airity Technologies,20-Jun-2024,Merger/Acquisition,"""Redwood City, CA"""
AiXPRT,21-Oct-2021,Merger/Acquisition,"""London, United Kingdom"""
AjustLock,05-Dec-2023,Merger/Acquisition,"""New York, NY"""
