company,latest_exit_date,deal_type,hq_location,founding_date,date_basis,source,confidence,status,time_to_exit_years,recommendation,review_reason,matched_name,url,notes
Weedmaps (NAS: MAPS),16-Jun-2021,Reverse Merger,"""Irvine, CA""",2008-07,operating_founding,Wikidata,MEDIUM,REVIEW,12.96,REVIEW,Wikidata match below HIGH confidence needs review,,,hq=united states; aliases=Weedmaps LLC|Weed Maps; desc=online legal marijuana community that allows users to review and discuss cannabis strains and local dispensaries
Wellnow,23-Feb-2022,Buyout/LBO,"""Berlin, Germany""",2012,operating_founding,Wikidata,LOW,REVIEW,10.15,REVIEW,Needs manual basis review,,,hq=germany; aliases=Five Star Urgent Care; desc=urgent care clinic network
Wematter,01-Jul-2023,Merger/Acquisition,"""Link�ping, Sweden""",2014,operating_founding,Wikidata,LOW,REVIEW,9.49,REVIEW,Needs manual basis review,,,"hq=sweden; desc=company in Linköping, Sweden"
Werewolf Therapeutics (NAS: HOWL),30-Apr-2021,IPO,"""Cambridge, MA""",2017,operating_founding,Wikidata,MEDIUM,REVIEW,4.33,REVIEW,Wikidata match below HIGH confidence needs review,,,"hq=united states; aliases=Werewolf Therapeutics|Werewolf Therapeutics Inc; desc=company in Watertown, United States"
Wonder Dynamics,20-May-2024,Merger/Acquisition,"""Los Angeles, CA""",2016,operating_founding,Wikidata,MEDIUM,REVIEW,8.38,REVIEW,Wikidata match below HIGH confidence needs review,,,hq=united states; desc=American VFX company
XCharge (NAS: XCH),10-Sep-2024,IPO,"""Hamburg, Germany""",2021-12-16,legal_incorporation,SEC filing,HIGH,SEC_MATCH,2.74,REVIEW,Very short legal age may be issuer/reorg incorporation,XCHG Ltd,https://www.sec.gov/Archives/edgar/data/1979887/000119312526182198/ck0001979887-20251231.htm,"Extracted from filing text: incorporated in the Cayman Islands on December 16, 2021"
XCharge (NAS: XCH),10-Sep-2024,IPO,"""Hamburg, Germany""",2022-09-20,operating_founding,Wikidata,LOW,REVIEW,1.97,REVIEW,Needs manual basis review,,,hq=germany
XG Sciences,24-Aug-2022,Merger/Acquisition,"""Lansing, MI""",2006,operating_founding,Wikidata,LOW,REVIEW,16.64,REVIEW,Needs manual basis review,,,"hq=united states; desc=company in Lansing, United States"
Xilio Therapeutics (NAS: XLO),22-Oct-2021,IPO,"""Waltham, MA""",2015,operating_founding,Wikidata,LOW,REVIEW,6.81,REVIEW,Needs manual basis review,,,hq=united states; aliases=Akrevia Therapeutics; desc=organization
YoYo Games,11-Jan-2021,Merger/Acquisition,"""Dundee, United Kingdom""",2007,operating_founding,Wikidata,MEDIUM,REVIEW,14.03,REVIEW,Wikidata match below HIGH confidence needs review,,,hq=united kingdom; desc=software and video game publishing company
Yoox Net-a-Porter Group,23-Apr-2025,Merger/Acquisition,"""Milan, Italy""",2000,operating_founding,Wikidata,MEDIUM,REVIEW,25.31,REVIEW,Wikidata match below HIGH confidence needs review,,,hq=italy; aliases=YOOX Net-a-Porter Group S.p.A.|YNAP; desc=Italian online fashion retailer
Zynerba Pharmaceuticals,10-Oct-2023,Merger/Acquisition,"""Plymouth, PA""",2014,operating_founding,Wikidata,MEDIUM,REVIEW,9.77,REVIEW,Wikidata match below HIGH confidence needs review,,,"hq=united states; desc=company in Radnor, United States"
exactEarth,01-Nov-2021,Merger/Acquisition,"""Cambridge, Canada""",2009-06,operating_founding,Wikidata,MEDIUM,REVIEW,12.42,REVIEW,Wikidata match below HIGH confidence needs review,,,"hq=canada; desc=maritime data services company based in Cambridge, Ontario, Canada"
