company,latest_exit_date,deal_type,hq_location,normalized_company,founding_date,date_basis,source,confidence,score,status,wikidata_id,wikidata_label,notes
Reflektive,01-Feb-2021,Merger/Acquisition,"""San Francisco, CA""",reflektive,,,Wikidata,NONE,0,NO_MATCH,Q6101219,reflective subcategory,hq=united states; aliases=reflective|coreflective; desc=full subcategory whose inclusion functor has a left adjoint
Regrello,01-Oct-2025,Merger/Acquisition,"""San Francisco, CA""",regrello,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Regulus Therapeutics,25-Jun-2025,Merger/Acquisition,"""San Diego, CA""",regulus therapeutics,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
Rehaboo!,23-Jun-2023,Merger/Acquisition,"""Helsinki, Finland""",rehaboo!,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
ReKTGlobal,06-Jul-2022,Merger/Acquisition,"""Weddington, NC""",rektglobal,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Relationship Science,24-May-2021,Merger/Acquisition,"""London, United Kingdom""",relationship science,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Relevvo,09-Jun-2025,Merger/Acquisition,"""Seattle, WA""",relevvo,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Reliance Lithium Werks,15-Mar-2022,Merger/Acquisition,"""Enschede, Netherlands""",reliance lithium werks,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Relievant,17-Nov-2023,Merger/Acquisition,"""Edina, MN""",relievant,2006,operating_founding,Wikidata,LOW,45,REVIEW,Q104481494,Relievant Medsystem (United States),"hq=united states; desc=company in Minneapolis, United States"
Remedy Analytics,01-Oct-2021,Merger/Acquisition,"""Milwaukee, WI""",remedy analytics,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Remine,16-Oct-2021,Merger/Acquisition,"""Vienna, VA""",remine,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Remitly (NAS: RELY),23-Sep-2021,IPO,"""Seattle, WA""",remitly,2011-00-00,operating_founding,Wikidata,MEDIUM,70,REVIEW,Q65073425,Remitly,hq=united states; aliases=Beamit Mobile; desc=mobile payment service company
Remix Technologies,10-Mar-2021,Merger/Acquisition,"""San Francisco, CA""",remix technologies,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
RemovAid,08-Jul-2024,Merger/Acquisition,"""Lysaker, Norway""",removaid,,,Wikidata,NONE,45,NO_MATCH,Q30259901,RemovAid (Norway),"hq=norway; desc=company in Oslo, Norway"
Renasci (Environmental Services),11-Jan-2023,Merger/Acquisition,"""Oostende, Belgium""",renasci (environmental services),,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
Reneo Pharmaceuticals,09-Apr-2021,IPO,"""Irvine, CA""",reneo pharmaceuticals,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
Renew Home,14-Dec-2023,Buyout/LBO,"""San Francisco, CA""",renew home,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Renovacor,02-Sep-2021,Reverse Merger,"""Greenwhich, CT""",renovacor,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
RenovoRx (NAS: RNXT),26-Aug-2021,IPO,"""Mountain View, CA""",renovorx,2009,operating_founding,Wikidata,MEDIUM,65,REVIEW,Q140870067,"RenovoRx, Inc. (United States)","hq=united states; aliases=RRx|RenovoRx|RenovoRx, Inc.; desc=company in Mountain View, United States"
RentGuarantor (LON: RGG),08-Dec-2021,IPO,"""London, United Kingdom""",rentguarantor,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Renty App,26-Sep-2021,Merger/Acquisition,"""Barcelona, Spain""",renty app,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
RePack,15-May-2024,Merger/Acquisition,"""Helsinki, Finland""",repack,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
RepairPal,26-Nov-2024,Merger/Acquisition,"""San Francisco, CA""",repairpal,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Repare Therapeutics,28-Jan-2026,Merger/Acquisition,"""Saint-Laurent, Canada""",repare therapeutics,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Repeat.gg,18-Jul-2022,Merger/Acquisition,"""Palo Alto, CA""",repeatgg,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Replace Therapeutics,02-Jan-2024,Merger/Acquisition,"""Emeryville, CA""",replace therapeutics,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Reposify,03-Oct-2022,Merger/Acquisition,"""San Francisco, CA""",reposify,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
Repstor,01-Jun-2021,Merger/Acquisition,"""Belfast, United Kingdom""",repstor,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Republic Europe,01-Dec-2021,Merger/Acquisition,"""London, United Kingdom""",republic europe,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
Rescoll,07-Jun-2023,Merger/Acquisition,"""Pessac, France""",rescoll,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
"""Resi (Movies, Music and Entertainment)""",23-Aug-2021,Merger/Acquisition,"""Allen, TX""",resi (movies music and entertainment),,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
ResoluteAI,31-Jul-2023,Merger/Acquisition,"""New York, NY""",resoluteai,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Resolution Bioscience,15-Apr-2021,Merger/Acquisition,"""Redmond, WA""",resolution bioscience,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Resonant,28-Mar-2022,Merger/Acquisition,"""Austin, TX""",resonant,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
ResourceX,31-Oct-2023,Merger/Acquisition,"""Denver, CO""",resourcex,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Respiratory Motion,01-Jul-2022,Merger/Acquisition,"""Watertown, MA""",respiratory motion,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Responsum (Business/Productivity Software),15-Sep-2023,Merger/Acquisition,"""Austin, TX""",responsum (business/productivity software),,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Retrieve Medical (PKPH),27-Mar-2023,Reverse Merger,"""Bedminster, NJ""",retrieve medical (pkph),,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Retrogenix,30-Mar-2021,Merger/Acquisition,"""Chinley, United Kingdom""",retrogenix,2008-00-00,operating_founding,Wikidata,MEDIUM,70,REVIEW,Q55631567,Retrogenix,hq=united kingdom; desc=British biotechnology company
Returnly,01-May-2021,Merger/Acquisition,"""San Francisco, CA""",returnly,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
Revel Bikes,25-Oct-2021,Buyout/LBO,"""Carbondale, CO""",revel bikes,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
Revelation BioSciences (NAS: REVB),11-Jan-2022,Reverse Merger,"""San Diego, CA""",revelation biosciences,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Reverie Labs,23-Feb-2024,Merger/Acquisition,"""Cambridge, MA""",reverie labs,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Reverse Mortgage Solutions,18-Jun-2021,Merger/Acquisition,"""Houston, TX""",reverse mortgage solutions,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Revibe Technologies,21-Oct-2024,Merger/Acquisition,"""Wake Forest, NC""",revibe technologies,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
ReViral,06-Apr-2022,Merger/Acquisition,"""Stevenage, United Kingdom""",reviral,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
RevvSales,14-Oct-2022,Merger/Acquisition,"""Palo Alto, CA""",revvsales,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Reworks,31-Aug-2021,Merger/Acquisition,"""Helsinki, Finland""",reworks,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Rewrite therapeutics,02-Feb-2022,Merger/Acquisition,"""Emeryville, CA""",rewrite therapeutics,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Rexer,20-Sep-2023,Merger/Acquisition,"""Monza, Italy""",rexer,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Rezilion,23-May-2024,Merger/Acquisition,"""New York, NY""",rezilion,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Rezolve Ai (NAS: RZLV),15-Aug-2024,Reverse Merger,"""London, United Kingdom""",rezolve ai,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
Rezonence,30-Sep-2021,Merger/Acquisition,"""London, United Kingdom""",rezonence,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
RF Coverage (Telecommunications Service Providers),01-Jun-2021,Merger/Acquisition,"""Aarsta, Sweden""",rf coverage (telecommunications service providers),,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
RFiD Discovery,10-May-2021,Merger/Acquisition,"""Milton Keynes, United Kingdom""",rfid discovery,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Rhebo,26-Feb-2021,Merger/Acquisition,"""Leipzig, Germany""",rhebo,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
RHEI,14-Dec-2023,Merger/Acquisition,"""Vancouver, Canada""",rhei,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Rheincell Therapeutics,04-Aug-2021,Merger/Acquisition,"""Langenfeld, Germany""",rheincell therapeutics,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Rhode,05-Aug-2025,Merger/Acquisition,"""Beverly Hills, CA""",rhode,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Rhombus Energy Solutions,29-Jul-2022,Merger/Acquisition,"""San Diego, CA""",rhombus energy solutions,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Riaktr,07-May-2021,Merger/Acquisition,"""Brussels, Belgium""",riaktr,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Richtech Robotics (NAS: RR),17-Nov-2023,IPO,"""Las Vegas, NV""",richtech robotics,,,Wikidata,NONE,90,NO_MATCH,Q124361729,Richtech Robotics,hq=united states; aliases=Richtech Robotics Inc.; desc=American automation company
rideOS,17-Jun-2021,Merger/Acquisition,"""San Francisco, CA""",rideos,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
RIFT (IT Consulting and Outsourcing),03-Mar-2021,Merger/Acquisition,"""Chelmsford, MA""",rift (it consulting and outsourcing),,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
Rigetti Computing (NAS: RGTI),02-Mar-2022,Reverse Merger,"""Berkeley, CA""",rigetti computing,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
RightBridge Ventures,06-Oct-2022,Reverse Merger,"""Stockholm, Sweden""",rightbridge ventures,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
RightRice,14-Jan-2022,Merger/Acquisition,"""San Francisco, CA""",rightrice,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
RigNet,30-Apr-2021,Merger/Acquisition,"""Houston, TX""",rignet,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Riley's (Other Consumer Non-Durables),09-Jan-2024,Merger/Acquisition,"""Saint Louis, MO""",rileys (other consumer non-durables),,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Riskified (NYS: RSKD),29-Jul-2021,IPO,"""New York, NY""",riskified,2012-00-00,operating_founding,Wikidata,MEDIUM,70,REVIEW,Q22908338,Riskified,hq=united states; desc=SaaS company
RiskIQ,12-Jul-2021,Merger/Acquisition,"""San Francisco, CA""",riskiq,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Ritual Zero Proof,24-Sep-2024,Merger/Acquisition,"""Chicago, IL""",ritual zero proof,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
RIV Capital,19-Dec-2024,Merger/Acquisition,"""Toronto, Canada""",riv capital,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Rivalry (TSX: RVLY),05-Oct-2021,IPO,"""Toronto, Canada""",rivalry,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Rivian Automotive (NAS: RIVN),10-Nov-2021,IPO,"""Irvine, CA""",rivian automotive,2009-06-00,operating_founding,Wikidata,MEDIUM,70,REVIEW,Q7338847,Rivian Automotive,hq=united states; aliases=Mainstream Motors|Avera Automotive; desc=American automaker and automotive technology company
Rize Oncology (PINX: RZONF),21-Mar-2022,IPO,"""San Lorenzo, CA""",rize oncology,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
Rnwl,04-Mar-2025,Merger/Acquisition,"""Cardiff, United Kingdom""",rnwl,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
Road Runner Media,01-Sep-2022,Merger/Acquisition,"""Rancho Santa Margarita, CA""",road runner media,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Road Studio (WAR: RST),12-Jan-2022,IPO,"""Warsaw, Poland""",road studio,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
RoadDB,21-Jun-2022,Merger/Acquisition,"""Grand Forks, ND""",roaddb,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Roadie (Logistics),01-Oct-2021,Merger/Acquisition,"""Atlanta, GA""",roadie (logistics),,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
ROADMap,30-Apr-2021,Merger/Acquisition,"""Cambridge, United Kingdom""",roadmap,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Roadster,02-Jun-2021,Merger/Acquisition,IL,roadster,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Roadzen (NAS: RDZN),20-Sep-2023,Reverse Merger,"""Burlingame, CA""",roadzen,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Robinhood (NAS: HOOD),29-Jul-2021,IPO,"""Menlo Park, CA""",robinhood,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
ROCA Test,27-Sep-2022,Merger/Acquisition,"""Cambridge, United Kingdom""",roca test,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Rocker,11-Dec-2024,Merger/Acquisition,"""Stockholm, Sweden""",rocker,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Rockerbox,13-Mar-2025,Merger/Acquisition,"""New York, NY""",rockerbox,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
Rocket Lab (NAS: RKLB),20-Aug-2021,Reverse Merger,"""Long Beach, CA""",rocket lab,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
RocksBox,29-Mar-2021,Merger/Acquisition,"""San Francisco, CA""",rocksbox,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Rockset,21-Jun-2024,Merger/Acquisition,"""San Mateo, CA""",rockset,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Rodeo Therapeutics,30-Mar-2021,Merger/Acquisition,"""Seattle, WA""",rodeo therapeutics,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Roi Rekrytering,01-Feb-2022,Merger/Acquisition,"""Malmo, Sweden""",roi rekrytering,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
ROI.DNA,01-Jul-2022,Merger/Acquisition,"""Fairfax, CA""",roidna,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Romeo Power,14-Oct-2022,Merger/Acquisition,"""Vernon, CA""",romeo power,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Roomex,01-Nov-2022,Merger/Acquisition,"""Dublin, Ireland""",roomex,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Root AI,07-Apr-2021,Merger/Acquisition,"""Woburn, MA""",root ai,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Roqqett,06-Jan-2023,Merger/Acquisition,"""London, United Kingdom""",roqqett,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Rovio Entertainment,17-Aug-2023,Merger/Acquisition,"""Espoo, Finland""",rovio entertainment,2003,operating_founding,Wikidata,MEDIUM,70,REVIEW,Q870095,Rovio Entertainment,hq=finland; desc=Finnish video game developer and entertainment company
Royal Alliances,01-Jun-2021,Buyout/LBO,"""Irving, TX""",royal alliances,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
Royalty Management Holding (NAS: RMCO),31-Oct-2023,Reverse Merger,"""Fishers, IN""",royalty management,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
RPM Interactive,15-Dec-2025,Merger/Acquisition,"""New Brunswick, NJ""",rpm interactive,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Rubicon (Financial Services),08-Mar-2024,Merger/Acquisition,"""Tirana, Albania""",rubicon (financial services),,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Rubicon Technologies,15-Aug-2022,Reverse Merger,"""Atlanta, GA""",rubicon technologies,2008-00-00,operating_founding,Wikidata,MEDIUM,70,REVIEW,Q25230496,Rubicon Technologies,hq=united states; aliases=Rubicon; desc=Waste and recycling company focused on sustainability
RubiconMD,20-Oct-2021,Merger/Acquisition,"""New York, NY""",rubiconmd,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
RubrYc Therapeutics,21-Sep-2022,Merger/Acquisition,"""San Carlos, CA""",rubryc therapeutics,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Rules Based Medicine,01-Jul-2021,Merger/Acquisition,"""Austin, TX""",rules based medicine,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Rumble (NAS: RUM),16-Sep-2022,Reverse Merger,"""Toronto, Canada""",rumble,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Runecast,01-Mar-2024,Merger/Acquisition,"""London, United Kingdom""",runecast,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
RunMyProcess,01-Dec-2024,Merger/Acquisition,"""Plano, TX""",runmyprocess,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
RushFiles,28-Jun-2023,Merger/Acquisition,"""Horsens, Denmark""",rushfiles,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
RxDataScience,06-Oct-2021,Merger/Acquisition,"""Morrisville, NC""",rxdatascience,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
RxSaver,30-Apr-2021,Merger/Acquisition,"""Austin, TX""",rxsaver,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
Ryte,11-Jul-2024,Merger/Acquisition,"""Munich, Germany""",ryte,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Rythm. (NAS: RYM),28-Jan-2021,IPO,"""Rolling Meadows, IL""",rythm,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
S12 Solutions,19-Apr-2021,Merger/Acquisition,"""London, United Kingdom""",s12 solutions,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
SAb Biotherapeutics (NAS: SABS),25-Oct-2021,Reverse Merger,"""Miami Beach, FL""",sab biotherapeutics,2014,operating_founding,Wikidata,LOW,45,REVIEW,Q64142457,Sab Biotherapeutics (United States),"hq=united states; aliases=SAB; desc=company in Sioux Falls, United States"
SafeBase,11-Feb-2025,Merger/Acquisition,"""San Diego, CA""",safebase,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Safekeep,08-Feb-2022,Merger/Acquisition,"""New York, NY""",safekeep,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Safello Group (STO: SFL),12-May-2021,IPO,"""Stockholm, Sweden""",safello,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
SafePointe,18-Aug-2023,Merger/Acquisition,"""Lake Mary, FL""",safepointe,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
SafeSend,02-Jan-2025,Merger/Acquisition,"""Ann Arbor, MI""",safesend,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
SafetyPay,31-Jan-2022,Merger/Acquisition,"""Aventura, FL""",safetypay,2007-00-00,operating_founding,Wikidata,MEDIUM,70,REVIEW,Q16627761,SafetyPay,hq=united states; desc=The global and secure Internet payment solution
SafetyTek,01-Jul-2022,Merger/Acquisition,"""Saskatoon, Canada""",safetytek,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
Sage Sales Management,29-Oct-2024,Merger/Acquisition,"""Barcelona, Spain""",sage sales management,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
SAGE Therapeutics,31-Jul-2025,Merger/Acquisition,"""Cambridge, MA""",sage therapeutics,2010,operating_founding,Wikidata,LOW,45,REVIEW,Q30269281,Sage Therapeutics (United States),"hq=united states; desc=company in Cambridge, Massachusetts, United States"
Sagely Naturals,06-Jul-2021,Merger/Acquisition,"""Santa Monica, CA""",sagely naturals,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Sagent Pharmaceuticals,28-Feb-2023,Merger/Acquisition,"""Schaumburg, IL""",sagent pharmaceuticals,2007,operating_founding,Wikidata,MEDIUM,70,REVIEW,Q28401584,Sagent Pharmaceuticals,hq=united states
Sagimet Biosciences (NAS: SGMT),14-Jul-2023,IPO,"""San Mateo, CA""",sagimet biosciences,,,Wikidata,NONE,65,NO_MATCH,Q140045702,Sagimet Biosciences Inc. (United States),"hq=united states; aliases=Sagimet Biosciences|Sagimet Biosciences Inc.; desc=company in San Mateo, United States"
Saisei,18-Sep-2023,Merger/Acquisition,"""Mountain View, CA""",saisei,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Salo Sciences,03-Jan-2023,Merger/Acquisition,"""San Francisco, CA""",salo sciences,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Salty Dot,01-Oct-2021,Merger/Acquisition,"""Park City, UT""",salty dot,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Samarkand Group,22-Mar-2021,IPO,"""Tonbridge, United Kingdom""",samarkand,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
SAMDI Tech,27-Jan-2023,Merger/Acquisition,"""Chicago, IL""",samdi tech,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Samooha,20-Dec-2023,Merger/Acquisition,"""Los Altos Hills, CA""",samooha,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Samsara (NYS: IOT),15-Dec-2021,IPO,"""San Francisco, CA""",samsara,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Sana Biotechnology (NAS: SANA),04-Feb-2021,IPO,"""Seattle, WA""",sana biotechnology,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
Sandbox Banking,07-Feb-2025,Merger/Acquisition,"""Cambridge, MA""",sandbox banking,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
Sanifit,22-Nov-2021,Merger/Acquisition,"""Palma, Spain""",sanifit,2004,operating_founding,Wikidata,MEDIUM,70,REVIEW,Q30269069,Sanifit,"hq=spain; desc=company in Palma de Mallorca, Spain"
SAP LeanIX,07-Nov-2023,Merger/Acquisition,"""Bonn, Germany""",sap leanix,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Satalia,20-Aug-2021,Merger/Acquisition,"""London, United Kingdom""",satalia,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Satelles,01-Apr-2024,Merger/Acquisition,"""Reston, VA""",satelles,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Satellogic (NAS: SATL),24-Jan-2022,Reverse Merger,"""Davidson, NC""",satellogic,2010,operating_founding,Wikidata,MEDIUM,70,REVIEW,Q22669551,Satellogic,hq=united states; aliases=NewSat|SATL; desc=vertically integrated geospatial analytics company
Satiogen Pharmaceuticals,20-May-2022,Merger/Acquisition,"""San Diego, CA""",satiogen pharmaceuticals,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
SatisMeter,25-May-2022,Merger/Acquisition,"""Prague, Czech Republic""",satismeter,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
SATO Technologies (TSX: SATO),25-May-2021,Reverse Merger,"""Toronto, Canada""",sato technologies,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Satsuma Pharmaceuticals,08-Jun-2023,Merger/Acquisition,"""Durham, NC""",satsuma pharmaceuticals,,,Wikidata,NONE,70,NO_MATCH,Q109681812,Satsuma Pharmaceuticals,hq=united states
Save Money Cut Carbon,12-Jan-2026,Merger/Acquisition,"""Bury St Edmunds, United Kingdom""",save money cut carbon,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Say,13-Aug-2021,Merger/Acquisition,"""Menlo Park, CA""",say,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
Saylent,01-Apr-2021,Merger/Acquisition,"""Boston, MA""",saylent,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
SberMarket,01-Jan-2021,Merger/Acquisition,"""Moscow, Russia""",sbermarket,2013-00-00,operating_founding,Wikidata,LOW,20,REVIEW,Q97277401,Kuper,hq=russia; aliases=SberMarket|Instamart; desc=Russian online delivery service
Scale Biosciences,20-Aug-2025,Merger/Acquisition,"""San Diego, CA""",scale biosciences,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Scalefast,23-Jun-2022,Merger/Acquisition,"""El Segundo, CA""",scalefast,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
ScalmiBio,04-Oct-2021,Merger/Acquisition,"""San Carlos, CA""",scalmibio,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Scalyr,09-Feb-2021,Merger/Acquisition,"""San Mateo, CA""",scalyr,2011-00-00,operating_founding,Wikidata,MEDIUM,70,REVIEW,Q30594076,Scalyr,hq=united states
Scanway (WAR: SCW),11-Oct-2023,IPO,"""Wroclaw, Poland""",scanway,2016-00-00,operating_founding,Wikidata,MEDIUM,70,REVIEW,Q130013800,Scanway,hq=poland; aliases=Scanway Space Corp.|Scanway Spółka Akcyjna|Scanway S. A.​; desc=Polish space camera and vision systems company
SciAps,21-Aug-2024,Merger/Acquisition,"""Andover, MA""",sciaps,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Scibids Technology,14-Aug-2023,Merger/Acquisition,"""Paris, France""",scibids technology,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Science 37 Holdings,06-Oct-2021,Reverse Merger,"""Morrisville, NC""",science 37,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Scienture,25-Jul-2024,Reverse Merger,"""New York, NY""",scienture,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Scite,01-Dec-2023,Merger/Acquisition,"""Brooklyn, NY""",scite,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
Scorpion Therapeutics,01-Mar-2025,Merger/Acquisition,"""Boston, MA""",scorpion therapeutics,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
