order	company	size	category	hq	keywords	acquirer
686	Spearad	14.7	Enterprise Software	Frankfurt, Germany	advertising services, campaign management, customer relationship management, media plannin	Nexxen (NAS: NEXN)(Ofer Druker)
687	BehavioSec	130.0	Devtools/DevOps	San Francisco, CA	account takeover protection, authentication software, behavioral biometrics, biometric sof	LexisNexis Risk Solutions
688	Talos (Software Development Applications)	28.1	Devtools/DevOps	Miami, FL	crm, customer relationship management, digital product designer, digital product developer	Perficient(Jeffrey Davis)
689	Grandata	33.3	Enterprise Software	San Mateo, CA	ai in it, artificial intelligence in it, data infrastructure, data intelligence ai, data m	Evertec (NYS: EVTC)
690	Traitify	40.0	Enterprise Software	Baltimore, MD	computer vision, enterprise resource planning, erp, human capital management, personality 	Paradox(Aaron Matos)
691	Embee Mobile	17.36	Enterprise Software	San Francisco, CA	abi custom application, analytics platform, data platform, mobile account management, mobi	SimilarWeb (NYS: SMWB)(Benjamin Seror)
692	LashBack	11.5	Enterprise Software	Saint Louis, MO	competitive intelligence, compliance service provider, compliance services, compliance too	PerformLine(Alex Baydin)
693	LiveIntent	285.98	Enterprise Software	New York, NY	brand management, customer management, digital marketing, display advertising, email adver	Zeta Global Holdings (NYS: ZETA)(David Steinberg)
694	Crunchy Data	164.45	Devtools/DevOps	Charleston, SC	cloud native systems, data infrastructure, data management firm, database management syste	Snowflake (NYS: SNOW)(Vivek Raghunathan)
695	Lightpoint Medical	42.59	Healthcare	Amersham, United Kingdom	artificial intelligence, autonomous machine, cancer detection, cancer surgery, imaging too	Telix Pharmaceuticals (ASX: TLX)(Christian Behrenbruch)
696	SupplyPike	211.93	Enterprise Software	Rogers, AR	cloud technology, data management, data science, deduction management, retail analytics, r	SPS Commerce (NAS: SPSC)(Chad Collins)
697	Oosto	125.0	Enterprise Software	New York, NY	computer vision, image recognition, object recognition, target identification, thermal ima	Metropolis Technologies
698	Voxel8	14.99	Physical Economy	Somerville, MA	athletic apparel design, digital fabrication, digital manufacturing systems, footwear desi	Kornit Digital (NAS: KRNT)(Ronen Samuel)
699	VisitPay	305.4	Healthcare	Boise, ID	bill pay solution, billing automation, billing automation software, enterprise resource pl	R1 RCM(Joseph Flanagan)
700	BrightBid	25.28	Enterprise Software	Stockholm, Sweden	advertisement development, ai marketing campaign, ai marketing platform, ai marketing soft	BrightBid Group (STO: BRIGHT)(Fredrik Lindros)
701	Wisely (Business/Productivity Software)	177.81	Enterprise Software	New York, NY	customer experience management, customer retention, enterprise resource planning, erp, mar	Olo(Noah Glass)
702	BioRez	250.5	Healthcare	New Haven, CT	anterior cruciate ligament, bioresorbable polymer scaffold, cadaver tissue, implants devel	Conmed (NYS: CNMD)(Curt Hartman)
703	Hivestack	100.0	Enterprise Software	Montreal, Canada	artificial intelligence, artificial intelligence firm, crm, customer interaction, customer	Perion Network (TAE: PERI)(Tal Jacobson)
704	Farmobile	11.0	Enterprise Software	Leawood, KS	agriculture data, data collection software, data management service, data processing, ente	Ag Growth International (TSE: AFN)(Tim Close)
705	Threat Stack	68.0	Devtools/DevOps	Boston, MA	cloud security, data loss prevention, intrusion detection, intrusion detection software, i	F5 (IT Consulting and Outsourcing) (NAS: FFIV)(Geng Lin)
706	Angstrom Sports	87.2	Enterprise Software	London, United Kingdom	abi custom application, analytics platform, data analytics, data output, risk management, 	Entain (LON: ENT)(Jette Nygaard-Andersen)
707	Beauty Labs	206.91	Enterprise Software	Cambridge, United Kingdom	beauty app, beauty platform, beauty technology, computer vision, crm, customer relationshi	Amyris(John Melo)
708	Disior	25.94	Healthcare	Helsinki, Finland	3d imaging, analytics software, bone fracturing, bone fracturing analysis, fracturing care	Paragon 28(Albert DaCosta)
709	Sentian.AI	10.56	Enterprise Software	Malmo, Sweden	algorithmic software, control optimization, machine learning system, process optimization,	The Weir Group (LON: WEIR)(Jonathan Stanton)
710	LG Ads Solutions	80.0	Enterprise Software	Mountain View, CA	audience extensions, branding advertising, consumer insights, crm, customer relationship m	LG Electronics (KRX: 066570)(Edward Lee)
711	Standard Bariatrics	211.8	Healthcare	Cincinnati, OH	endoscopic staplers, medical device company, metabolic surgery, morbid obesity, obesity su	Teleflex (NYS: TFX)
712	Stratify Genomics	29.0	Healthcare	San Diego, CA	cancer screening, cancer testing kit, genetic testing, genomics study, metastatic prostate	Invitae
713	Human Data Sciences	10.0	Healthcare	Cardiff, United Kingdom	analytical platform, health economics, healthcare data, life sciences market, observationa	
714	RubiconMD	130.0	Healthcare	New York, NY	health care solutions, health consulting, health technology, healthcare solutions, healthc	Oak Street Health(Michael Pykosz)
715	Bionic (Business/Productivity Software)	239.0	Devtools/DevOps	Palo Alto, CA	application architecture, application control, application migration, application moderniz	CrowdStrike Holdings (NAS: CRWD)(George Kurtz)
716	MailerLite	84.0	Enterprise Software	Dublin, Ireland	customer relationship management, developer api, digital marketing, email marketing, email	Vercom (Pozna_) (WAR: VRC)(Krzysztof Szyszka)
717	Cellen	12.35	Healthcare	London, United Kingdom	cannabis program, chronic pain management, chronic pain treatment, digital healthcare comp	Akanda (NAS: AKAN)
718	Remine	53.5	Enterprise Software	Vienna, VA	digital mortgage, predictive analytics tool, property insights, real estate analytics, rea	MLS Technology Holdings
719	OutPlay	14.0	Devtools/DevOps	Cedar Park, TX	customer relationship management, generative ai, marketing campaign, marketing platform, r	Click Labs
720	Amino	17.5	Enterprise Software	New York, NY	community app, community platform, gaming community, gaming experience, gaming social, int	MediaLab
721	Good Chemistry	75.0	Enterprise Software	Vancouver, Canada	ai cores, cloud computing, cloud computing tools, enterprise resource planning, erp, mater	SandboxAQ(Jack Hidary)
722	Solvvy	121.2	Enterprise Software	Burlingame, CA	ai customer support, chatbot app, conversational ai, conversational ai platform, crm, cust	Zoom Communications (NAS: ZM)
723	Kivera	28.0	Devtools/DevOps	New York, NY	automated process, cloud network, cloud security, cybersecurity safety, cybersecurity syst	Cloudflare (NYS: NET)(Matthew Prince)
724	LeapYear	62.0	Devtools/DevOps	San Francisco, CA	ai automation platform, analytics platform, business intelligence platform, cryptography s	Snowflake (NYS: SNOW)
725	Breakroom	12.4	Enterprise Software	London, United Kingdom	frontline workers, hr tech, human resources, job portal, job search platform, retention ra	ZipRecruiter (NYS: ZIP)(Ian Siegel)
726	Mavely	250.0	Enterprise Software	Chicago, IL	application platform, online media, online shopping platform, shopping application, shoppi	Later(Scott Sutton)
727	Bolder Surgical	160.0	Healthcare	Louisville, CO	microsurgery, pediatric surgical device, surgery equipment, surgical device makers, surgic	Hologic (NAS: HOLX)(Stephen Macmillan)
728	Zavvy	20.0	Enterprise Software	Munich, Germany	ai assistant, employee development, employee training, enterprise resource planning, erp, 	Deel(Alex Bouaziz)
729	Jukin Media	115.0	Enterprise Software	Los Angeles, CA	entertainment network, media company, multiplatform media, social video property, user gen	Trusted Media Brands(Bonnie Kintzer)
730	Enview	71.0	Enterprise Software	San Diego, CA	ai platform, analytics platform, automated analysis, autonomous driving, cloud computing, 	Matterport(Raymond Pittman)
731	Corellium	170.0	Devtools/DevOps	Delray Beach, FL	app streaming, design software, device modeling, endpoint security, iot software, mobile s	Cellebrite DI (NAS: CLBT)(Thomas Hogan)
732	WarpStream	135.1	Devtools/DevOps	Chicago, IL	ai automation platform, cloud storage, cloud-based database, data streaming, data streamin	Confluent (NAS: CFLT)
733	Kickserv	15.0	Enterprise Software	Denver, CO	business management, business management app, business management platform, business manag	EverCommerce (NAS: EVCM)
734	Workvivo	221.8	Enterprise Software	Cork, Ireland	employee engagement app, employee engagement application, employee engagement platform, en	Zoom Communications (NAS: ZM)(Kelly Steckelberg)
735	VAY (Business/Productivity Software)	30.88	Enterprise Software	Zurich, Switzerland	abi custom application, ai automation platform, ai health, analytics platform, computer vi	Bowflex(James Barr)
736	CreditIQ	80.0	Enterprise Software	New York, NY	automotive platform, business software, business solutions, crm, customer relationship man	Cars.com (NYS: CARS)(Alex Vetter)
737	Aaron.ai	43.08	Enterprise Software	Berlin, Germany	communication platform, customer engagement, customer interaction platform, customer inter	Doctolib
738	HazardHub	53.0	Enterprise Software	San Diego, CA	environmental monitoring, geographical data, geospatial data, hazard management, insurance	Guidewire Software (NYS: GWRE)(Michael Rosenbaum)
739	Sientra	42.5	Healthcare	Irvine, CA	breast augmentation, breast implant developer, breast implantation, breast reconstruction,	Tiger Aesthetics Medical(Oliver Burckhardt)
740	OneCloud	35.1	Enterprise Software	New York, NY	analytics platform, application infrastructure, application integration, automation softwa	Workiva (NYS: WK)(Martin Vanderploeg)
741	Evisort	311.0	Enterprise Software	San Francisco, CA	business acceleration, content services, contract management automation, data extraction, 	Workday (NAS: WDAY)
742	NewsWhip	63.98	Enterprise Software	Dublin, Ireland	abi custom application, analytics platform, content aggregator, content discovery, content	Sprout Social (NAS: SPT)(Ryan Barretto)
743	XtraCHEF by Toast	53.4	Enterprise Software	New York, NY	ai automation platform, automated data entry, cost management, document management, enterp	Toast (NYS: TOST)(Christopher Comparato)
744	Vermietet.de	53.16	Enterprise Software	Berlin, Germany	administration platform, enterprise resource planning, erp, property management, property 	Scout24 (ETR: G24)(Tobias Hartmann)
745	Telensa	37.3	Devtools/DevOps	Cambridge, United Kingdom	communication sensor, control systems design, control systems design service, radio techno	Signify (Eindhoven) (AMS: LIGHT)
746	Voyage AI	220.0	Enterprise Software	Palo Alto, CA	ai cores, ai research, artificial intelligence cores, data representation, data retrieval,	MongoDB (NAS: MDB)(Dev Ittycheria)
747	E-bot7	60.24	Enterprise Software	Munich, Germany	chatbot assistance platform, chatbot assistant, chatbot technology, conversational ai, cus	LivePerson (NAS: LPSN)(Robert Locascio)
748	Samooha	219.04	Enterprise Software	Los Altos Hills, CA	computing technology, cross-cloud data, data collaboration, data ecosystem, data managemen	Snowflake (NYS: SNOW)
749	AdvisorTarget	67.4	Enterprise Software	Coral Gables, FL	asset management, behavioural data, financial advisor, financial news, fund distribution, 	Broadridge Financial Solutions (NYS: BR)(Dan Cwenar)
750	Sojern	250.0	Enterprise Software	San Francisco, CA	digital marketing, digital marketing firm, marketing platform, travel data, travel informa	RateGain (BOM: 543417)(Bhanu Chopra)
751	PreCardia	115.2	Healthcare	Saint Paul, MN	acute decompensated heart failure treatment, adhf treatment, adhf treatment device, adhf t	Abiomed(Michael Minogue)
752	Flashgap	75.37	Enterprise Software	Paris, France	online dating, photo editor, photo sharing, photo sharing albums, photo sharing app, photo	Bumble (NAS: BMBL)(Whitney Herd)
753	EveryMundo	89.5	Enterprise Software	Miami, FL	crm, customer relationship management, digital marketing, digital marketing platform, enga	PROS Holdings(Andres Reiner)
754	Boost Mobile	129.0	Devtools/DevOps	Irvine, CA	mobile network, prepaid mobile service, telecommunication services, wifi services, wireles	Telstra Group (ASX: TLS)
755	Affectiva	73.5	Enterprise Software	Boston, MA	ai platform, analytics platform, artificial intelligence technology, computer vision, data	Smart Eye (STO: SEYE)(Martin Krantz)
756	Ageto Energy	13.5	Enterprise Software	Fort Collins, CO	grid management, grid resilience, microgrids technology, power systems product, renewable 	Generac Holdings (NYS: GNRC)(Erik Wilde)
757	Nickelytics	25.0	Enterprise Software	Tampa, FL	ad campaign, ad tech company, ad tech platform, digital advertisement, digital channel, ma	Kiwi Campus
758	SightPlan	131.65	Enterprise Software	Orlando, FL	enterprise asset management, enterprise resource planning, erp, maintenance service platfo	SmartRent (NYS: SMRT)(Lucas Haldeman)
759	Block Mining	113.58	Devtools/DevOps	Chicago, IL	bitcoin infrastructure, bitcoin mining, bitcoin mining service, colocation services, minin	Riot Platforms (NAS: RIOT)
760	Riaktr	12.49	Enterprise Software	Brussels, Belgium	ai platform, analytics platform, business data analysis, business intelligence, data insig	Seamless Distribution Systems (NGM: SDS)
761	Xcite	13.18	Enterprise Software	Austin, TX	advertising platform, audience analytics, audience engagement, crm, customer relationship 	Versus Systems (NAS: VS)(Matthew Pierce)
762	TrueLark	35.76	Enterprise Software	Palo Alto, CA	analytics platform, artificial intelligence automation, conversational ai, customer commun	Weave (Business/Productivity Software) (NYS: WEAV)(Brett Whi
763	Brightpearl	298.18	Enterprise Software	Newcastle Upon Tyne, United Kingdom	cloud-based retail management, ecommerce personalization, enterprise resource planning, en	Sage Group (LON: SGE)(Aaron Harris)
764	WiteSand	21.8	Devtools/DevOps	San Jose, CA	enterprise network, enterprise network management, it ops, network managing, network provi	Juniper Networks
765	Cloud Fastpath	14.8	Enterprise Software	Boston, MA	cloud syncing, data management dashboard, data migration, data publishing, data transfer, 	Box (IT Services) (NYS: BOX)
766	Exium	12.5	Devtools/DevOps	Palo Alto, CA	cybersecurity platform, malware protection software, network security tool, phishing attac	Netgear (NAS: NTGR)(Bryan Murray)
767	Fungible	190.0	Devtools/DevOps	Santa Clara, CA	application infrastructure, cloud infrastructure, cloud saas, data architecture, data cent	Microsoft (NAS: MSFT)
768	Hark (Leeds)	18.34	Enterprise Software	Leeds, United Kingdom	cloud-based software, data analysis, environmental monitoring, real time sensors monitorin	SolarEdge Technologies (NAS: SEDG)(Zvi Lando)
769	Xtelligent Healthcare Media	26.8	Enterprise Software	Danvers, MA	business media, crm, customer relationship management, digital media, healthcare media, he	TechTarget (NAS: TTGT)(Michael Cotoia)
770	Advanced Accelerator Applications	193.19	Healthcare	Rueil-Malmaison, France	clinical oncology, molecular imaging, molecular imaging technology, personalized medicine,	Siemens Healthineers (ETR: SHL)
771	Capillary Biomedical	24.7	Healthcare	Irvine, CA	diabetes management, glucose control equipment, healthcare firm, insulin control, insulin 	Tandem Diabetes Care (NAS: TNDM)(John Sheridan)
772	Swarm64	32.0	Enterprise Software	Oslo, Norway	cloud-based computing, cyber security, data acceleration, micro server, microprocessors, p	ServiceNow (NYS: NOW)(Joe Davis)
