order	company	size	category	hq	keywords	acquirer
420	Whyline	67.5	Enterprise Software	New York, NY	appointment scheduler, consumer experience, consumer services, crowd analysis, crowd manag	Clear Secure (NYS: YOU)(Caryn Seidman-Becker)
421	Helpshift	72.03	Enterprise Software	Keller, TX	crm, customer engagement, customer expectation, customer focused, customer relationship ma	Keywords Studios(Bertrand Bodson)
422	Intelligence Node	100.0	Enterprise Software	San Francisco, CA	competitor analysis, data analytics portal, merchandising solution, price optimization, pr	The Interpublic Group of Companies(Philippe Krakowsky)
423	Nevro	252.55	Healthcare	Redwood City, CA	chronic pain, electrical stimulation, pain management, pain relief, spinal cord, surgical 	Globus Medical (NYS: GMED)(Daniel Scavilla)
424	98point6	100.0	Healthcare	Seattle, WA	enterprise resource planning, general care, healthcare consultation, online consultation, 	Transcarent(Glen Tullman)
425	Akoya Biosciences	242.19	Healthcare	Marlborough, MA	cell research platform, cellular imaging, cellular research, fluidics control instruments,	Quanterix (NAS: QTRX)(Masoud Toloue)
426	Lumeon	39.83	Healthcare	Boston, MA	care automation, care coordination, care coordination and referrals, care orchestration pl	Health Catalyst (NAS: HCAT)(Daniel Burton)
427	Ondat	24.76	Devtools/DevOps	London, United Kingdom	cloud storage platform, cloud-based platform, container management platform, data software	Akamai Technologies (NAS: AKAM)(Adam Karon)
428	RoadDB	31.0	Enterprise Software	Grand Forks, ND	3d mapping system, autonomous driving, driver assistance system, localization software, ma	Qualcomm (NAS: QCOM)
429	ContactEngine	94.9	Enterprise Software	Southampton, United Kingdom	automated conversation, communication channel, communication technology, crm, customer con	NICE (Ra'anana) (TAE: NICE)(Paul Jarman)
430	Irwin	125.0	Enterprise Software	Toronto, Canada	abi custom application, analytics platform, capital market platform, capital market soluti	FactSet (NYS: FDS)(Kristina Karnovsky)
431	Jour	20.0	Enterprise Software	New York, NY	guided navigation, instruction guide, journaling application, mental health app, notes tak	Alan(Jean-Charles Samuelian-Werve)
432	Tenfold (Business/Productivity Software)	126.0	Enterprise Software	Austin, TX	artificial intelligence solution, cloud computing platform, cloud computing software, cont	LivePerson (NAS: LPSN)(Robert Locascio)
433	Dynamic Yield	320.0	Enterprise Software	New York, NY	actionable intelligence, behavior prediction, crm, customer relationship management, ecomm	MasterCard (NYS: MA)(Raj Seshadri)
434	Shoreline.io	100.0	Devtools/DevOps	Redwood City, CA	automated remediation, cloud services, debugging tools, devops automation, enterprise reso	Nvidia (NAS: NVDA)
435	Catalytic (Business/Productivity Software)	68.76	Enterprise Software	Chicago, IL	automation data, business automation, business automation software, business workflow, clo	PagerDuty (NYS: PD)(Jennifer Tejada)
436	Paige	102.7	Healthcare	New York, NY	ai-powered drug discovery, cancer diagnostics, computational pathology service, generative	Tempus AI (NAS: TEM)(Eric Lefkofsky)
437	Leaf Group	308.6	Enterprise Software	New York, NY	branding services, domain services, lifestyle advertising, lifestyle content, marketing an	Graham Holdings (NYS: GHC)(Timothy O'Shaughnessy)
438	Jolt (Business/Productivity Software)	148.49	Enterprise Software	Lehi, UT	attendance tracking, business operations platform, employee management, employee managemen	Digi International (NAS: DGII)(Ronald Konezny)
439	VNDLY	473.16	Enterprise Software	Mason, OH	contingent workforce, enterprise resource planning, erp, human capital management, human c	Workday (NAS: WDAY)(Aneel Bhusri)
440	Chargeback (Salt Lake City)	65.0	Devtools/DevOps	Salt Lake City, UT	chargeback management system, crm, customer relationship management, data aggregating, dis	Sift (Network Management Software)(Marc Olesen)
441	Some Spider Studios	150.0	Enterprise Software	New York, NY	brand building service provider, digital media agency, digital media center, digital media	Bustle Digital Group(Bryan Goldberg)
442	Glitch (Software Development Applications)	40.0	Devtools/DevOps	New York, NY	application infrastructure, coding collaboration platform, coding platform, online coding 	Fastly (NAS: FSLY)(Lakshmi Sharma)
443	Hemovent	143.45	Healthcare	Aachen, Germany	cardiac device, cardiac support device, critical care, ecmo system, ecmo transport, extrac	MicroPort Surgical(Zhiguang Cheng)
444	Honest Day's Work	44.6	Enterprise Software	Los Angeles, CA	business productivity software, crm, customer relationship management, enterprise software	Latch Systems (PINX: LTCH)(Jason Keyes)
