company,latest_exit_date,deal_type,hq_location,founding_date,source,confidence,notes
Aerodome,16-Oct-2024,Merger/Acquisition,"""New York, NY""",,,,
Aerostrat,12-Aug-2025,Merger/Acquisition,"""Seattle, WA""",,,,
Aerovate Therapeutics,30-Jun-2021,IPO,"""Waltham, MA""",,,,
Aeva Technologies (NAS: AEVA),11-Mar-2021,Reverse Merger,"""Mountain View, CA""",,,,
AEye (NAS: LIDR),18-Aug-2021,Reverse Merger,"""Pleasanton, CA""",,,,
Affectiva,23-Jun-2021,Merger/Acquisition,"""Boston, MA""",,,,
Affera,30-Aug-2022,Merger/Acquisition,"""Newton, MA""",,,,
Affinio,01-Nov-2021,Merger/Acquisition,"""Halifax, Canada""",,,,
Affinivax,15-Aug-2022,Merger/Acquisition,"""Cambridge, MA""",,,,
Affirm (NAS: AFRM),13-Jan-2021,IPO,"""San Francisco, CA""",,,,
Africa Eats (XMAU: EATS.N000),21-Nov-2024,IPO,"""Bainbridge Island, WA""",,,,
AfricaWeb,08-Jul-2024,Merger/Acquisition,"""Amsterdam, Netherlands""",,,,
AFX Networks,08-Nov-2021,Buyout/LBO,"""New York, NY""",,,,
Afyren (PAR: ALAFY),01-Oct-2021,IPO,"""Clermont-Ferrand, France""",,,,
Agara,02-Nov-2021,Merger/Acquisition,"""Walnut, CA""",,,,
Ageto Energy,01-Aug-2024,Merger/Acquisition,"""Fort Collins, CO""",,,,
Agomab Therapeutics (NAS: AGMB),06-Feb-2026,IPO,"""Antwerp, Belgium""",,,,
Agribody Technologies,15-Apr-2021,Merger/Acquisition,"""Great Falls, MT""",,,,
Agricool,01-Sep-2022,Merger/Acquisition,"""La Courneuve, France""",,,,
Agrivida,10-Jan-2023,Merger/Acquisition,"""Boston, MA""",,,,
Aidence,20-Jan-2022,Merger/Acquisition,"""Rotterdam, Netherlands""",,,,
Aiforia Technologies (HEL: AIFORIA),10-Dec-2021,IPO,"""Helsinki, Finland""",,,,
AImotive,22-Dec-2022,Merger/Acquisition,"""Budapest, Hungary""",,,,
Aiolos Bio,14-Feb-2024,Merger/Acquisition,"""Boston, MA""",,,,
Aiqudo,09-Feb-2021,Merger/Acquisition,"""Campbell, CA""",,,,
Air Control Entech,25-Jul-2024,Merger/Acquisition,"""Aberdeen, United Kingdom""",,,,
Airbase,01-Oct-2024,Merger/Acquisition,"""San Francisco, CA""",,,,
Airgap,12-Apr-2024,Merger/Acquisition,"""Santa Clara, CA""",,,,
Airity Technologies,20-Jun-2024,Merger/Acquisition,"""Redwood City, CA""",,,,
AirJoule Technologies (NAS: AIRJ),14-Mar-2024,Reverse Merger,"""Wilmington, DE""",,,,
Airthings (OSL: AIRX),23-Dec-2025,Merger/Acquisition,"""Oslo, Norway""",,,,
AiXPRT,21-Oct-2021,Merger/Acquisition,"""London, United Kingdom""",,,,
AjustLock,05-Dec-2023,Merger/Acquisition,"""New York, NY""",,,,
Akili Interactive,02-Jul-2024,Merger/Acquisition,"""Boston, MA""",,,,
Akkodis,24-Feb-2022,Merger/Acquisition,"""Zug, Switzerland""",,,,
Akouos,01-Dec-2022,Merger/Acquisition,"""Boston, MA""",,,,
Akoya Biosciences,16-Apr-2021,IPO,"""Marlborough, MA""",,,,
Aktis Oncology (NAS: AKTS),09-Jan-2026,IPO,"""Boston, MA""",,,,
ALAViDA,14-Oct-2021,Merger/Acquisition,"""Vancouver, Canada""",,,,
Alchemy (Financial Software),08-Jun-2022,Merger/Acquisition,"""Irvine, CA""",,,,
Alcyone Therapeutics,07-Nov-2025,Merger/Acquisition,"""Lowell, MA""",,,,
Alderys,28-Feb-2024,Merger/Acquisition,"""Orsay, France""",,,,
Alfi (Business/Productivity Software),04-May-2021,IPO,"""Miami Beach, FL""",,,,
