company,latest_exit_date,deal_type,hq_location,founding_date,source,confidence,notes
Respiratory Motion,01-Jul-2022,Merger/Acquisition,"""Watertown, MA""",,,,
Responsum (Business/Productivity Software),15-Sep-2023,Merger/Acquisition,"""Austin, TX""",,,,
Retrieve Medical (PKPH),27-Mar-2023,Reverse Merger,"""Bedminster, NJ""",,,,
Retrogenix,30-Mar-2021,Merger/Acquisition,"""Chinley, United Kingdom""",,,,
Returnly,01-May-2021,Merger/Acquisition,"""San Francisco, CA""",,,,
Revel Bikes,25-Oct-2021,Buyout/LBO,"""Carbondale, CO""",,,,
Revelation BioSciences (NAS: REVB),11-Jan-2022,Reverse Merger,"""San Diego, CA""",,,,
Reverie Labs,23-Feb-2024,Merger/Acquisition,"""Cambridge, MA""",,,,
Reverse Mortgage Solutions,18-Jun-2021,Merger/Acquisition,"""Houston, TX""",,,,
Revibe Technologies,21-Oct-2024,Merger/Acquisition,"""Wake Forest, NC""",,,,
ReViral,06-Apr-2022,Merger/Acquisition,"""Stevenage, United Kingdom""",,,,
RevvSales,14-Oct-2022,Merger/Acquisition,"""Palo Alto, CA""",,,,
Reworks,31-Aug-2021,Merger/Acquisition,"""Helsinki, Finland""",,,,
Rewrite therapeutics,02-Feb-2022,Merger/Acquisition,"""Emeryville, CA""",,,,
Rexer,20-Sep-2023,Merger/Acquisition,"""Monza, Italy""",,,,
Rezilion,23-May-2024,Merger/Acquisition,"""New York, NY""",,,,
Rezolve Ai (NAS: RZLV),15-Aug-2024,Reverse Merger,"""London, United Kingdom""",,,,
Rezonence,30-Sep-2021,Merger/Acquisition,"""London, United Kingdom""",,,,
RF Coverage (Telecommunications Service Providers),01-Jun-2021,Merger/Acquisition,"""Aarsta, Sweden""",,,,
RFiD Discovery,10-May-2021,Merger/Acquisition,"""Milton Keynes, United Kingdom""",,,,
Rhebo,26-Feb-2021,Merger/Acquisition,"""Leipzig, Germany""",,,,
RHEI,14-Dec-2023,Merger/Acquisition,"""Vancouver, Canada""",,,,
Rheincell Therapeutics,04-Aug-2021,Merger/Acquisition,"""Langenfeld, Germany""",,,,
Rhode,05-Aug-2025,Merger/Acquisition,"""Beverly Hills, CA""",,,,
Rhombus Energy Solutions,29-Jul-2022,Merger/Acquisition,"""San Diego, CA""",,,,
Riaktr,07-May-2021,Merger/Acquisition,"""Brussels, Belgium""",,,,
Richtech Robotics (NAS: RR),17-Nov-2023,IPO,"""Las Vegas, NV""",,,,
rideOS,17-Jun-2021,Merger/Acquisition,"""San Francisco, CA""",,,,
RIFT (IT Consulting and Outsourcing),03-Mar-2021,Merger/Acquisition,"""Chelmsford, MA""",,,,
Rigetti Computing (NAS: RGTI),02-Mar-2022,Reverse Merger,"""Berkeley, CA""",,,,
RightBridge Ventures,06-Oct-2022,Reverse Merger,"""Stockholm, Sweden""",,,,
RightRice,14-Jan-2022,Merger/Acquisition,"""San Francisco, CA""",,,,
RigNet,30-Apr-2021,Merger/Acquisition,"""Houston, TX""",,,,
Riley's (Other Consumer Non-Durables),09-Jan-2024,Merger/Acquisition,"""Saint Louis, MO""",,,,
Riskified (NYS: RSKD),29-Jul-2021,IPO,"""New York, NY""",,,,
RiskIQ,12-Jul-2021,Merger/Acquisition,"""San Francisco, CA""",,,,
Ritual Zero Proof,24-Sep-2024,Merger/Acquisition,"""Chicago, IL""",,,,
RIV Capital,19-Dec-2024,Merger/Acquisition,"""Toronto, Canada""",,,,
Rivalry (TSX: RVLY),05-Oct-2021,IPO,"""Toronto, Canada""",,,,
Rivian Automotive (NAS: RIVN),10-Nov-2021,IPO,"""Irvine, CA""",,,,
Rize Oncology (PINX: RZONF),21-Mar-2022,IPO,"""San Lorenzo, CA""",,,,
Rnwl,04-Mar-2025,Merger/Acquisition,"""Cardiff, United Kingdom""",,,,
Road Runner Media,01-Sep-2022,Merger/Acquisition,"""Rancho Santa Margarita, CA""",,,,
Road Studio (WAR: RST),12-Jan-2022,IPO,"""Warsaw, Poland""",,,,
RoadDB,21-Jun-2022,Merger/Acquisition,"""Grand Forks, ND""",,,,
Roadie (Logistics),01-Oct-2021,Merger/Acquisition,"""Atlanta, GA""",,,,
ROADMap,30-Apr-2021,Merger/Acquisition,"""Cambridge, United Kingdom""",,,,
Roadster,02-Jun-2021,Merger/Acquisition,IL,,,,
Roadzen (NAS: RDZN),20-Sep-2023,Reverse Merger,"""Burlingame, CA""",,,,
Robinhood (NAS: HOOD),29-Jul-2021,IPO,"""Menlo Park, CA""",,,,
ROCA Test,27-Sep-2022,Merger/Acquisition,"""Cambridge, United Kingdom""",,,,
Rocker,11-Dec-2024,Merger/Acquisition,"""Stockholm, Sweden""",,,,
Rockerbox,13-Mar-2025,Merger/Acquisition,"""New York, NY""",,,,
Rocket Lab (NAS: RKLB),20-Aug-2021,Reverse Merger,"""Long Beach, CA""",,,,
RocksBox,29-Mar-2021,Merger/Acquisition,"""San Francisco, CA""",,,,
Rockset,21-Jun-2024,Merger/Acquisition,"""San Mateo, CA""",,,,
Rodeo Therapeutics,30-Mar-2021,Merger/Acquisition,"""Seattle, WA""",,,,
Roi Rekrytering,01-Feb-2022,Merger/Acquisition,"""Malmo, Sweden""",,,,
ROI.DNA,01-Jul-2022,Merger/Acquisition,"""Fairfax, CA""",,,,
Romeo Power,14-Oct-2022,Merger/Acquisition,"""Vernon, CA""",,,,
Roomex,01-Nov-2022,Merger/Acquisition,"""Dublin, Ireland""",,,,
Root AI,07-Apr-2021,Merger/Acquisition,"""Woburn, MA""",,,,
Roqqett,06-Jan-2023,Merger/Acquisition,"""London, United Kingdom""",,,,
Rovio Entertainment,17-Aug-2023,Merger/Acquisition,"""Espoo, Finland""",,,,
Royal Alliances,01-Jun-2021,Buyout/LBO,"""Irving, TX""",,,,
Royalty Management Holding (NAS: RMCO),31-Oct-2023,Reverse Merger,"""Fishers, IN""",,,,
RPM Interactive,15-Dec-2025,Merger/Acquisition,"""New Brunswick, NJ""",,,,
Rubicon (Financial Services),08-Mar-2024,Merger/Acquisition,"""Tirana, Albania""",,,,
Rubicon Technologies,15-Aug-2022,Reverse Merger,"""Atlanta, GA""",,,,
RubiconMD,20-Oct-2021,Merger/Acquisition,"""New York, NY""",,,,
RubrYc Therapeutics,21-Sep-2022,Merger/Acquisition,"""San Carlos, CA""",,,,
Rules Based Medicine,01-Jul-2021,Merger/Acquisition,"""Austin, TX""",,,,
Rumble (NAS: RUM),16-Sep-2022,Reverse Merger,"""Toronto, Canada""",,,,
Runecast,01-Mar-2024,Merger/Acquisition,"""London, United Kingdom""",,,,
RunMyProcess,01-Dec-2024,Merger/Acquisition,"""Plano, TX""",,,,
RushFiles,28-Jun-2023,Merger/Acquisition,"""Horsens, Denmark""",,,,
RxDataScience,06-Oct-2021,Merger/Acquisition,"""Morrisville, NC""",,,,
RxSaver,30-Apr-2021,Merger/Acquisition,"""Austin, TX""",,,,
Ryte,11-Jul-2024,Merger/Acquisition,"""Munich, Germany""",,,,
Rythm. (NAS: RYM),28-Jan-2021,IPO,"""Rolling Meadows, IL""",,,,
S12 Solutions,19-Apr-2021,Merger/Acquisition,"""London, United Kingdom""",,,,
SAb Biotherapeutics (NAS: SABS),25-Oct-2021,Reverse Merger,"""Miami Beach, FL""",,,,
SafeBase,11-Feb-2025,Merger/Acquisition,"""San Diego, CA""",,,,
Safekeep,08-Feb-2022,Merger/Acquisition,"""New York, NY""",,,,
Safello Group (STO: SFL),12-May-2021,IPO,"""Stockholm, Sweden""",,,,
SafePointe,18-Aug-2023,Merger/Acquisition,"""Lake Mary, FL""",,,,
SafeSend,02-Jan-2025,Merger/Acquisition,"""Ann Arbor, MI""",,,,
SafetyPay,31-Jan-2022,Merger/Acquisition,"""Aventura, FL""",,,,
SafetyTek,01-Jul-2022,Merger/Acquisition,"""Saskatoon, Canada""",,,,
Sage Sales Management,29-Oct-2024,Merger/Acquisition,"""Barcelona, Spain""",,,,
SAGE Therapeutics,31-Jul-2025,Merger/Acquisition,"""Cambridge, MA""",,,,
Sagely Naturals,06-Jul-2021,Merger/Acquisition,"""Santa Monica, CA""",,,,
Sagent Pharmaceuticals,28-Feb-2023,Merger/Acquisition,"""Schaumburg, IL""",,,,
Sagimet Biosciences (NAS: SGMT),14-Jul-2023,IPO,"""San Mateo, CA""",,,,
Saisei,18-Sep-2023,Merger/Acquisition,"""Mountain View, CA""",,,,
Salo Sciences,03-Jan-2023,Merger/Acquisition,"""San Francisco, CA""",,,,
Salty Dot,01-Oct-2021,Merger/Acquisition,"""Park City, UT""",,,,
Samarkand Group,22-Mar-2021,IPO,"""Tonbridge, United Kingdom""",,,,
SAMDI Tech,27-Jan-2023,Merger/Acquisition,"""Chicago, IL""",,,,
Samooha,20-Dec-2023,Merger/Acquisition,"""Los Altos Hills, CA""",,,,
Samsara (NYS: IOT),15-Dec-2021,IPO,"""San Francisco, CA""",,,,
Sana Biotechnology (NAS: SANA),04-Feb-2021,IPO,"""Seattle, WA""",,,,
Sandbox Banking,07-Feb-2025,Merger/Acquisition,"""Cambridge, MA""",,,,
Sanifit,22-Nov-2021,Merger/Acquisition,"""Palma, Spain""",,,,
SAP LeanIX,07-Nov-2023,Merger/Acquisition,"""Bonn, Germany""",,,,
Satalia,20-Aug-2021,Merger/Acquisition,"""London, United Kingdom""",,,,
Satelles,01-Apr-2024,Merger/Acquisition,"""Reston, VA""",,,,
Satellogic (NAS: SATL),24-Jan-2022,Reverse Merger,"""Davidson, NC""",,,,
Satiogen Pharmaceuticals,20-May-2022,Merger/Acquisition,"""San Diego, CA""",,,,
SatisMeter,25-May-2022,Merger/Acquisition,"""Prague, Czech Republic""",,,,
SATO Technologies (TSX: SATO),25-May-2021,Reverse Merger,"""Toronto, Canada""",,,,
Satsuma Pharmaceuticals,08-Jun-2023,Merger/Acquisition,"""Durham, NC""",,,,
Save Money Cut Carbon,12-Jan-2026,Merger/Acquisition,"""Bury St Edmunds, United Kingdom""",,,,
Say,13-Aug-2021,Merger/Acquisition,"""Menlo Park, CA""",,,,
Saylent,01-Apr-2021,Merger/Acquisition,"""Boston, MA""",,,,
SberMarket,01-Jan-2021,Merger/Acquisition,"""Moscow, Russia""",,,,
Scale Biosciences,20-Aug-2025,Merger/Acquisition,"""San Diego, CA""",,,,
Scalefast,23-Jun-2022,Merger/Acquisition,"""El Segundo, CA""",,,,
ScalmiBio,04-Oct-2021,Merger/Acquisition,"""San Carlos, CA""",,,,
Scalyr,09-Feb-2021,Merger/Acquisition,"""San Mateo, CA""",,,,
Scanway (WAR: SCW),11-Oct-2023,IPO,"""Wroclaw, Poland""",,,,
SciAps,21-Aug-2024,Merger/Acquisition,"""Andover, MA""",,,,
Scibids Technology,14-Aug-2023,Merger/Acquisition,"""Paris, France""",,,,
Science 37 Holdings,06-Oct-2021,Reverse Merger,"""Morrisville, NC""",,,,
Scienture,25-Jul-2024,Reverse Merger,"""New York, NY""",,,,
Scite,01-Dec-2023,Merger/Acquisition,"""Brooklyn, NY""",,,,
Scorpion Therapeutics,01-Mar-2025,Merger/Acquisition,"""Boston, MA""",,,,
Scouted,31-Jan-2021,Merger/Acquisition,"""New York, NY""",,,,
ScPharmaceuticals,07-Oct-2025,Merger/Acquisition,"""Burlington, MA""",,,,
Screambox,11-Feb-2021,Merger/Acquisition,"""Los Angeles, CA""",,,,
SCRIPTS,29-Nov-2022,Merger/Acquisition,"""Seattle, WA""",,,,
Scynce LED,01-Mar-2023,Merger/Acquisition,"""Mesa, AZ""",,,,
SEA Electric,05-Apr-2024,Merger/Acquisition,"""Torrance, CA""",,,,
Seagems,12-Jan-2024,Merger/Acquisition,"""Ellings�y, Norway""",,,,
SeaStar Medical (NAS: ICU),28-Oct-2022,Reverse Merger,"""Denver, CO""",,,,
Seclab,18-Jan-2024,Merger/Acquisition,"""Montpellier, France""",,,,
Second Spectrum,06-May-2021,Merger/Acquisition,"""Los Angeles, CA""",,,,
SecureAppbox,05-Feb-2024,Merger/Acquisition,"""Stockholm, Sweden""",,,,
SecureCircle,29-Nov-2021,Merger/Acquisition,"""Santa Clara, CA""",,,,
SecurionPay,29-Sep-2022,Merger/Acquisition,"""Wollerau, Switzerland""",,,,
SecurityAdvisor,01-Nov-2021,Merger/Acquisition,"""Sunnyvale, CA""",,,,
Securrency,19-Oct-2023,Merger/Acquisition,"""Jersey City, NJ""",,,,
Sedona Systems,22-Jun-2021,Merger/Acquisition,"""Palo Alto, CA""",,,,
SeedInvest,05-May-2023,Merger/Acquisition,"""New York, NY""",,,,
SeeQuestor,16-Jan-2023,Merger/Acquisition,"""London, United Kingdom""",,,,
Segmint,25-Apr-2022,Merger/Acquisition,"""Cuyahoga Falls, OH""",,,,
Sehteq,01-Oct-2021,Merger/Acquisition,"""Des Moines, IA""",,,,
Selina Hospitality (PINX: SLNAF),27-Oct-2022,Reverse Merger,"""London, United Kingdom""",,,,
Selinko,16-Oct-2024,Buyout/LBO,"""Namur, Belgium""",,,,
Sellics,19-Apr-2022,Merger/Acquisition,"""New York, NY""",,,,
SemiCab,03-Jul-2024,Merger/Acquisition,"""Atlanta, GA""",,,,
Semler Scientific,16-Jan-2026,Merger/Acquisition,"""Campbell, CA""",,,,
semvox,01-Jun-2023,Merger/Acquisition,"""Kirkel, Germany""",,,,
Sendwave,16-Feb-2021,Merger/Acquisition,"""Boston, MA""",,,,
Seneco,08-Apr-2021,Merger/Acquisition,"""Hasselager, Denmark""",,,,
Seniorly,31-Oct-2025,Merger/Acquisition,"""San Francisco, CA""",,,,
Sense Photonics,22-Oct-2021,Merger/Acquisition,"""Durham, NC""",,,,
senseFly,18-Oct-2021,Merger/Acquisition,"""Lausanne, Switzerland""",,,,
SenseHawk,01-Sep-2022,Merger/Acquisition,"""Campbell, CA""",,,,
Sensi (Machinery (B2B)),14-Aug-2024,Merger/Acquisition,"""Dublin, Ireland""",,,,
Sensibill,03-Oct-2022,Merger/Acquisition,"""Toronto, Canada""",,,,
Sensu,10-Jun-2021,Merger/Acquisition,"""Redwood City, CA""",,,,
Sentenial,30-Sep-2021,Merger/Acquisition,"""Maynooth, Ireland""",,,,
Senti Bio (NAS: SNTI),08-Jun-2022,Reverse Merger,"""South San Francisco, CA""",,,,
Sentian.AI,21-Nov-2023,Merger/Acquisition,"""Malmo, Sweden""",,,,
Sentieo,11-May-2022,Merger/Acquisition,"""San Francisco, CA""",,,,
Sentil,23-Oct-2024,Merger/Acquisition,"""Peralta, Spain""",,,,
Sentinum,01-May-2023,Merger/Acquisition,"""F�rth, Germany""",,,,
Sentric Music,29-Mar-2023,Merger/Acquisition,"""Liverpool, United Kingdom""",,,,
Sentronics Metrology,03-Feb-2025,Merger/Acquisition,"""Mannheim, Germany""",,,,
Septerna (NAS: SEPN),25-Oct-2024,IPO,"""South San Francisco, CA""",,,,
SeQure DX,29-Jan-2025,Merger/Acquisition,"""Waltham, MA""",,,,
Sera Prognostics (NAS: SERA),15-Jul-2021,IPO,"""Salt Lake City, UT""",,,,
Serenity Pharmaceuticals,07-Mar-2022,Merger/Acquisition,"""Milford, PA""",,,,
Serina Therapeutics (ASE: SER),26-Mar-2024,Reverse Merger,"""Huntsville, AL""",,,,
ServiceTitan (NAS: TTAN),12-Dec-2024,IPO,"""Glendale, CA""",,,,
SES AI (NYS: SES),03-Feb-2022,Reverse Merger,"""Woburn, MA""",,,,
Sexton Biotechnologies,01-Sep-2021,Merger/Acquisition,"""Indianapolis, IN""",,,,
Shapeways Holdings (PINX: SHPWQ),29-Sep-2021,Reverse Merger,"""New York, NY""",,,,
Shareablee,16-Dec-2021,Merger/Acquisition,"""New York, NY""",,,,
Sharedo,13-Mar-2025,Merger/Acquisition,"""Cheshire, United Kingdom""",,,,
Sharktower,18-Feb-2022,Merger/Acquisition,"""Edinburgh, United Kingdom""",,,,
Sharp Reflections,12-Nov-2024,Merger/Acquisition,"""Stavanger, Norway""",,,,
SharpLink (Entertainment Software) (NAS: SBET),27-Jul-2021,Reverse Merger,"""Minneapolis, MN""",,,,
Sharps Technology (NAS: STSS),14-Apr-2022,IPO,"""New York, NY""",,,,
She Beverage Company,11-Dec-2022,Merger/Acquisition,"""Lancaster, CA""",,,,
Sheerluxe,22-Jan-2026,Merger/Acquisition,"""London, United Kingdom""",,,,
Sherlock Biosciences,19-Dec-2024,Merger/Acquisition,"""Watertown, MA""",,,,
ShieldX,10-Mar-2021,Merger/Acquisition,"""San Jose, CA""",,,,
ShiftRight (Business/Productivity Software),17-Jun-2022,Merger/Acquisition,"""San Jose, CA""",,,,
Shipsta,19-Aug-2024,Merger/Acquisition,"""Mertert, Luxembourg""",,,,
ShockWave Medical,31-May-2024,Merger/Acquisition,"""Santa Clara, CA""",,,,
Shopbrain,01-Jul-2021,Merger/Acquisition,"""Dublin, Ireland""",,,,
Shoplo,17-Aug-2021,Merger/Acquisition,"""Krakow, Poland""",,,,
Shoreline.io,01-Jul-2024,Merger/Acquisition,"""Redwood City, CA""",,,,
Shoulder Innovations (NYS: SI),31-Jul-2025,IPO,"""Holland, MI""",,,,
Shuttle Pharmaceuticals (NAS: SHPH),31-Aug-2022,IPO,"""Gaithersburg, MD""",,,,
SICK MOBILISIS,01-Jan-2022,Merger/Acquisition,"""Varazdin, Croatia""",,,,
Sideqik,02-Jul-2021,Merger/Acquisition,"""Atlanta, GA""",,,,
Sidertia,28-Jun-2022,Merger/Acquisition,"""Madrid, Spain""",,,,
Sidus Space (NAS: SIDU),14-Dec-2021,IPO,"""Merritt Island, FL""",,,,
Siemplify,05-Jan-2022,Merger/Acquisition,"""New York, NY""",,,,
Sientra,24-Apr-2024,Merger/Acquisition,"""Irvine, CA""",,,,
Sierra Oncology,01-Jul-2022,Merger/Acquisition,"""San Mateo, CA""",,,,
Siete Family Foods,17-Jan-2025,Merger/Acquisition,"""Austin, TX""",,,,
Sight Sciences (NAS: SGHT),15-Jul-2021,IPO,"""Menlo Park, CA""",,,,
SightPlan,22-Mar-2022,Merger/Acquisition,"""Orlando, FL""",,,,
Sigi (Therapeutic Devices),23-Jan-2023,Merger/Acquisition,"""St-Sulpice, Switzerland""",,,,
Sigilon Therapeutics,11-Aug-2023,Merger/Acquisition,"""Cambridge, MA""",,,,
Sigmastocks,20-Dec-2024,Merger/Acquisition,"""Gothenburg, Sweden""",,,,
Signalbox,11-Jul-2023,Merger/Acquisition,"""London, United Kingdom""",,,,
Signing Day Sports (ASE: SGN),14-Nov-2023,IPO,"""Scottsdale, AZ""",,,,
Siklu,04-Dec-2023,Merger/Acquisition,"""Irvine, CA""",,,,
Silicon Radar,21-Feb-2023,Merger/Acquisition,"""Frankfurt, Germany""",,,,
Silk Road Medical,17-Sep-2024,Merger/Acquisition,"""Sunnyvale, CA""",,,,
SilverCloud Health,28-Jul-2021,Merger/Acquisition,"""Boston, MA""",,,,
SimAnalytics,25-Jan-2023,Merger/Acquisition,"""Helsinki, Finland""",,,,
SimilarWeb (NYS: SMWB),13-May-2021,IPO,"""New York, NY""",,,,
Simple Mills,21-Feb-2025,Merger/Acquisition,"""Chicago, IL""",,,,
SimpleBet,03-Dec-2024,Merger/Acquisition,"""New York, NY""",,,,
SimpleNexus,07-Jan-2022,Merger/Acquisition,"""Lehi, UT""",,,,
Simpliconnect,01-Jan-2023,Merger/Acquisition,"""Bloomington, MN""",,,,
Simpo,04-Oct-2021,Merger/Acquisition,"""San Francisco, CA""",,,,
Simumatik,21-Oct-2024,Merger/Acquisition,"""Skovde, Sweden""",,,,
Sinch Engage-EMEA,01-Nov-2021,Merger/Acquisition,"""Munich, Germany""",,,,
Sinergise,04-Aug-2023,Merger/Acquisition,"""Ljubljana, Slovenia""",,,,
Singular (Sliema),10-Sep-2021,Merger/Acquisition,"""Sliema, Malta""",,,,
Singular Key,27-Sep-2021,Merger/Acquisition,"""Cupertino, CA""",,,,
Singularity 6,02-Jul-2024,Merger/Acquisition,"""Los Angeles, CA""",,,,
Sionna Therapeutics (NAS: SION),06-Feb-2025,IPO,"""Waltham, MA""",,,,
Sirnaomics (HKG: 02257),29-Dec-2021,IPO,"""Gaithersburg, MD""",,,,
SiteOne Therapeutics,07-Aug-2025,Merger/Acquisition,"""South San Francisco, CA""",,,,
Siva Therapeutics,23-Mar-2023,Merger/Acquisition,"""Austin, TX""",,,,
Six to Start,01-Jul-2021,Merger/Acquisition,"""Brighton, United Kingdom""",,,,
Sixense Enterprises,01-Oct-2021,Merger/Acquisition,"""Los Gatos, CA""",,,,
SkandiaEnergi (OSL: SKAND),22-Feb-2021,IPO,"""Kristiansand, Norway""",,,,
Skedify,08-Nov-2021,Merger/Acquisition,"""Gent, Belgium""",,,,
Skolon (STO: SKOLON),17-May-2022,IPO,"""Karlshamn, Sweden""",,,,
Skriware,19-Dec-2023,Merger/Acquisition,"""Warsaw, Poland""",,,,
Sky Harbour Group (NYS: SKYH),15-Nov-2021,Reverse Merger,"""White Plains, NY""",,,,
Sky Sapience,01-Mar-2021,Merger/Acquisition,"""Beverly Hills, CA""",,,,
Skylar,29-Dec-2022,Merger/Acquisition,"""Beaverton, OR""",,,,
Skyrise.Tech,14-Jun-2021,Merger/Acquisition,"""Katowice, Poland""",,,,
Skytap,26-Apr-2024,Merger/Acquisition,"""Seattle, WA""",,,,
Slack,21-Jul-2021,Merger/Acquisition,"""San Francisco, CA""",,,,
Slide Insurance (NAS: SLDE),18-Jun-2025,IPO,"""Tampa, FL""",,,,
Smaato,01-Sep-2021,Merger/Acquisition,"""New York, NY""",,,,
Small Pharma,23-Oct-2023,Merger/Acquisition,"""London, United Kingdom""",,,,
Smallab Learning,18-Nov-2021,Merger/Acquisition,"""Cary, NC""",,,,
Smart Immune,01-Jul-2025,Merger/Acquisition,"""Paris, France""",,,,
Smart Organic (XBUL: SO),03-Dec-2021,IPO,"""Sofia, Bulgaria""",,,,
Smart Valor,10-Feb-2022,IPO,"""Vaduz, Liechtenstein""",,,,
SmartAxiom,13-Mar-2021,Merger/Acquisition,"""Irvine, CA""",,,,
SmartCV (Business/Productivity Software),09-May-2023,Merger/Acquisition,"""Athens, Greece""",,,,
SmartEquip,02-Nov-2021,Merger/Acquisition,"""Norwalk, CT""",,,,
Smartlytics Consultancy,12-Jan-2023,Merger/Acquisition,"""Coventry, United Kingdom""",,,,
SmartRent (NYS: SMRT),24-Aug-2021,Reverse Merger,"""Scottsdale, AZ""",,,,
SmartWitness,19-Nov-2021,Merger/Acquisition,"""Croydon, United Kingdom""",,,,
Smoking Gun Interactive,05-Oct-2022,Merger/Acquisition,"""Vancouver, Canada""",,,,
SnapMed,24-Jan-2022,Merger/Acquisition,"""Sandnes, Norway""",,,,
SnapSupport,15-Jun-2021,Merger/Acquisition,"""Sunnyvale, CA""",,,,
Snow Lake Resources (NAS: LITM),19-Nov-2021,IPO,"""Winnipeg, Canada""",,,,
Snowe,14-Dec-2022,Merger/Acquisition,"""New York, NY""",,,,
Snowprint Studios,05-Oct-2023,Merger/Acquisition,"""Stockholm, Sweden""",,,,
Socati,22-Mar-2021,Merger/Acquisition,"""Austin, TX""",,,,
Social Chain (Media and Information Services (B2B)),19-Oct-2021,Merger/Acquisition,"""Manchester, United Kingdom""",,,,
Social Finance (NAS: SOFI),01-Jun-2021,Reverse Merger,"""San Francisco, CA""",,,,
Social Snowball,25-Jun-2025,Merger/Acquisition,"""Miami, FL""",,,,
SocialWave (Media and Information Services),21-Apr-2023,Merger/Acquisition,"""Munich, Germany""",,,,
Sofos Harbert Renewable Energy,14-Feb-2023,Merger/Acquisition,"""Birmingham, AL""",,,,
SoftEye,18-Jun-2025,Merger/Acquisition,"""San Diego, CA""",,,,
Softhale,31-Mar-2021,Merger/Acquisition,"""Diepenbeek, Belgium""",,,,
Soin Neuroscience,28-Dec-2022,Merger/Acquisition,"""Dayton, OH""",,,,
Sojern,05-Nov-2025,Merger/Acquisition,"""San Francisco, CA""",,,,
Solargraf,25-Jan-2021,Merger/Acquisition,"""Montreal, Canada""",,,,
Solectrac,11-Jun-2021,Merger/Acquisition,"""Windsor, CA""",,,,
Solid Clouds (ICE: SOLID),12-Jul-2021,IPO,"""Seltjarnarnes, Iceland""",,,,
Solid Power (NAS: SLDP),07-Dec-2021,Reverse Merger,"""Louisville, CO""",,,,
Soliton,10-May-2021,Merger/Acquisition,"""Houston, TX""",,,,
Solvvy,19-May-2022,Merger/Acquisition,"""Burlingame, CA""",,,,
Solynta,26-Jan-2026,Merger/Acquisition,"""Wageningen, Netherlands""",,,,
Soma Labs Scientific,28-Apr-2022,Buyout/LBO,"""Langley, Canada""",,,,
Some Spider Studios,31-Aug-2021,Merger/Acquisition,"""New York, NY""",,,,
Sonantic,11-Jul-2022,Merger/Acquisition,"""London, United Kingdom""",,,,
Sonder Holdings (PINX: SONDQ),14-Jan-2022,Reverse Merger,"""San Francisco, CA""",,,,
Sonnet.,24-Apr-2024,Merger/Acquisition,"""Sheridan, WY""",,,,
SOPHiA GENETICS (NAS: SOPH),23-Jul-2021,IPO,"""Rolle, Switzerland""",,,,
Sora (Network Management Software),05-Sep-2023,Merger/Acquisition,"""New York, NY""",,,,
Sorted (Logistics) (LON: SORT),20-Feb-2024,Reverse Merger,"""Manchester, United Kingdom""",,,,
Sotera,11-Jul-2022,Merger/Acquisition,"""Carlsbad, CA""",,,,
SoundHound AI (NAS: SOUN),27-Apr-2022,Reverse Merger,"""Santa Clara, CA""",,,,
Source Rock Royalties (TSX: SRR),23-Feb-2022,IPO,"""Calgary, Canada""",,,,
Sourced Group,12-May-2021,Merger/Acquisition,"""Toronto, Canada""",,,,
South West Brands,20-Apr-2023,Merger/Acquisition,"""Cheltenham, United Kingdom""",,,,
Soylent,15-Feb-2023,Merger/Acquisition,"""Los Angeles, CA""",,,,
Space Fox Games (WAR: FOX),13-Nov-2023,IPO,"""Warsaw, Poland""",,,,
Spartoo (PAR: ALSPT),07-Jul-2021,IPO,"""Grenoble, France""",,,,
Spear Power Systems,19-Nov-2021,Merger/Acquisition,"""Grandview, MO""",,,,
Spearad,18-Oct-2021,Merger/Acquisition,"""Frankfurt, Germany""",,,,
Specific ( Healthcare Devices and Supplies),18-May-2022,Merger/Acquisition,"""San Jose, CA""",,,,
Specificity (PINX: SPTY),01-Mar-2022,IPO,"""Tampa, FL""",,,,
Specto,23-Nov-2021,Merger/Acquisition,"""San Francisco, CA""",,,,
Spectra7 Microsystems,23-Apr-2025,Merger/Acquisition,"""San Jose, CA""",,,,
Spectral AI (NAS: MDAI),22-Jun-2021,IPO,"""Dallas, TX""",,,,
Speechly,18-Sep-2023,Merger/Acquisition,"""Helsinki, Finland""",,,,
Speed Digital,14-Apr-2022,Merger/Acquisition,"""Charlotte, NC""",,,,
SpendLabs,14-Jun-2021,Merger/Acquisition,"""Dublin, CA""",,,,
Spenn Investor,30-Jun-2021,Merger/Acquisition,"""Kristiansand, Norway""",,,,
Spherics (Business/Productivity Software),11-Oct-2022,Merger/Acquisition,"""Bristol, United Kingdom""",,,,
Spherio Group,09-Mar-2021,IPO,"""Stockholm, Sweden""",,,,
Spiff,01-Feb-2024,Merger/Acquisition,"""Sandy, UT""",,,,
Spin (Automotive),19-Sep-2023,Merger/Acquisition,"""San Francisco, CA""",,,,
Spindle Biotech,12-Jul-2023,Merger/Acquisition,"""Toronto, Canada""",,,,
Spinnova (HEL: SPINN),24-Jun-2021,IPO,"""Jyvaskyla, Finland""",,,,
Spintso,19-Jun-2024,Merger/Acquisition,"""Stockholm, Sweden""",,,,
Splunk,18-Mar-2024,Merger/Acquisition,"""San Jose, CA""",,,,
SportCC,01-Aug-2023,Merger/Acquisition,"""Copenhagen, Denmark""",,,,
Sports Entertainment (NAS: SEGG),01-Oct-2021,Reverse Merger,"""Fort Worth, TX""",,,,
Spott (Commercial/Professional Insurance),02-Aug-2023,Merger/Acquisition,"""New York, NY""",,,,
